date,ret_lag_1_cs,ret_lag_2_cs,ret_lag_3_cs,mom_2_6_cs,mom_2_12_cs,vol_3m_cs,vol_6m_cs,vol_12m_cs,price_ma_6_ratio_cs,price_ma_12_ratio_cs,log_mkt_cap_cs,turnover_cs,turnover_3m_cs,turnover_12m_cs
2015-09-30,-5.2947383202504954e-17,1.7082497843755546e-17,5.647720874933862e-18,3.0467967877932678e-18,1.0998193282765941e-17,-3.121108904568713e-17,1.7223690865628892e-16,-8.977542326227361e-18,-4.8414344079202775e-17,9.363326713706139e-18,1.0901587530957862e-16,8.025708611748119e-18,6.435429312753585e-17,-3.5669816052213865e-17
2015-10-30,-1.9195444818285416e-17,-4.059577181164416e-17,3.811064725927685e-18,-4.52093487998228e-18,-2.7134873490713312e-17,3.412935265953836e-17,5.552967965289709e-17,-2.343845337367862e-18,1.5193305744202743e-17,-6.744345476694876e-18,2.332357715951514e-16,5.3361854321102316e-17,-5.054553423193303e-17,-1.206570817149369e-16
2015-11-30,2.219706147201246e-19,3.311061669575192e-18,-1.975538471009109e-17,-1.923745327574413e-18,2.0832867069045028e-17,-1.2979731695759285e-16,-1.377223615612723e-16,-8.014064068957833e-18,1.2430354424326978e-17,1.6851269167502793e-17,5.680967932737056e-16,1.1572068047409163e-16,-1.7461688357983134e-17,-7.162251834969354e-17
2015-12-31,1.7172245841545797e-17,-3.748029309763474e-17,7.404597744936106e-17,1.526836641128746e-17,1.0266016535706727e-17,-1.485772574985919e-16,-1.1635782394718666e-16,-1.532156304242703e-16,-1.874014654881737e-17,-1.7839536916366736e-17,4.030251437072357e-16,2.0532033071413454e-17,-1.0825981074018002e-16,-1.7918865225960832e-17
2016-01-29,2.738910171938364e-18,5.400667944667197e-19,-4.629143952571882e-19,1.6009122835977762e-17,1.826100848790596e-17,-1.2768722069177443e-17,4.5958719804127724e-17,-8.778014220064433e-17,9.393304603760446e-18,-1.4466074851787132e-17,6.674454055616559e-16,-8.733651590518952e-17,-1.5430479841906276e-18,-5.894443299608198e-17
2016-02-29,-7.745922712045354e-17,-3.612692137513631e-18,-1.7247691495226364e-17,1.3751537813761562e-17,3.768076745578733e-18,-1.650961460691713e-17,-5.0888459141321034e-17,-2.0563210569815486e-16,-2.6959229499295265e-17,6.726211221618119e-17,9.760484155609407e-16,4.257538260983805e-17,4.739230545985623e-17,1.3953537804246194e-16
2016-03-31,7.311090524140954e-18,-6.280668369731827e-18,1.8765411592491436e-18,5.69472796694587e-17,1.578783863062162e-17,9.034205295242305e-17,-2.2250416602525557e-17,-1.9623258979576757e-16,-3.2552244599219836e-17,-4.2892369354266134e-18,-2.3835902398299324e-16,5.2389965425567926e-17,-5.269633949238411e-17,1.1182653438790815e-16
2016-04-29,-3.7274773719785096e-17,-1.120677911208959e-18,-7.02721143897588e-18,-1.3405169647176813e-17,-1.273682073314378e-17,2.84143766880329e-17,7.409125104137612e-18,-6.843892879698248e-17,-3.437222986455593e-18,-2.831889827174247e-17,3.706090206729453e-16,-3.146968600932676e-17,-1.0693582624528512e-18,1.3290595547628293e-17
2016-05-31,3.463934186503187e-17,1.104470573720363e-17,-1.4656765534505251e-18,-5.5607025413004386e-18,1.3182699990151902e-17,-1.3225603686483486e-16,7.445588954437795e-17,-1.1152084820759776e-16,2.300980361917423e-19,8.302704139252034e-18,4.258347656455177e-16,-8.774405113445106e-17,5.67575155939631e-17,6.596143704163279e-18
2016-06-30,1.0044329393753566e-17,9.786537669769397e-18,4.58296398194079e-19,4.716633764747397e-18,5.621291759099251e-18,1.3321148640841232e-16,-1.1864148008249222e-16,-1.5438859914163037e-17,3.1125963710681204e-18,4.143763267004798e-18,-1.985951058841009e-17,8.677078472474563e-17,9.715883641714476e-17,-1.405442287795176e-17
2016-07-29,-7.350704759953866e-18,1.492992883887003e-17,-2.9326645933494702e-18,9.140772758491856e-18,1.7786420325898734e-17,-4.484691634635066e-17,1.1235533182312905e-17,-3.09881718151164e-17,-1.8471978282785625e-17,2.231872015198428e-17,2.1419877497399247e-16,6.170021611982002e-17,-3.473493648226905e-17,-1.5204152021624785e-16
2016-08-31,3.879913400070868e-17,5.450805166928829e-18,-1.2680692575841371e-17,-2.0776463097208755e-17,-4.920865775699636e-19,-1.0991510766298324e-16,-1.6108264852684465e-16,-3.1427298540574026e-17,-1.888855401595476e-17,-2.5925628655290612e-17,-8.94764809276831e-16,1.5292536718328102e-17,1.6958060519334134e-17,-5.46594629239252e-17
2016-09-30,-1.7277680777380963e-17,-5.617132462340666e-17,-4.149661322078397e-19,-9.042489262747198e-17,1.923933885690893e-18,2.635034939519782e-17,1.6410024319128206e-18,2.1889463473963543e-17,1.524057431017884e-17,-2.6671005042812968e-17,-5.502450913075954e-16,2.8066800214784794e-17,3.787509061242464e-17,-9.853559430244338e-17
2016-10-31,1.6536054748486918e-17,1.661296663103802e-17,2.5227097476761437e-17,-2.4534890533801518e-17,-2.884195595666323e-17,2.4227243003597112e-17,-2.0612384523695322e-17,-4.082098166399736e-17,3.361049267483155e-17,6.283700804425029e-17,3.989419347925658e-16,-3.999417892657301e-17,2.653459948013017e-17,1.461325768470937e-17
2016-11-30,-3.5661306157293845e-17,2.9798522810890884e-17,-1.9840342993986023e-17,6.0813311858960985e-19,1.5868473563197633e-17,8.358029548615951e-17,1.6189643866452771e-16,-1.5231834204674135e-17,8.057763821312332e-18,-3.268715512419153e-18,-4.1094595488692886e-16,5.579621363059671e-17,-6.674260976520969e-17,1.2664372194628625e-16
